FECHA,LOCAL,GOLESLOCAL,GOLESVIS,VISITA
Jornada 26 21 Oct,U. de Chile,,,Everton Vina
Jornada 26 21 Oct,U. Espanola,,,Deportes Temuco
Jornada 26 21 Oct,U. La Calera,,,Huachipato
Jornada 27 28 Oct,A. Italiano,,,Colo Colo
Jornada 27 28 Oct,Deportes Temuco,,,Curico Unido
Jornada 27 28 Oct,Everton Vina,,,Antofagasta
Jornada 27 28 Oct,Huachipato,,,O Higgins
Jornada 27 28 Oct,Palestino,,,D. Iquique
Jornada 27 28 Oct,U. de Chile,,,U. Catolica
Jornada 27 28 Oct,U. de Conce,,,U. Espanola
Jornada 27 28 Oct,U. La Calera,,,CD San Luis
Jornada 28 04 Nov,Antofagasta,,,U. Catolica
Jornada 28 04 Nov,Colo Colo,,,Palestino
Jornada 28 04 Nov,Curico Unido,,,U. La Calera
Jornada 28 04 Nov,D. Iquique,,,Huachipato
Jornada 28 04 Nov,Deportes Temuco,,,A. Italiano
Jornada 28 04 Nov,O Higgins,,,U. de Conce
Jornada 28 04 Nov,CD San Luis,,,U. de Chile
Jornada 28 04 Nov,U. Espanola,,,Everton Vina
Jornada 29 25 Nov,Antofagasta,,,U. Espanola
Jornada 29 25 Nov,A. Italiano,,,Curico Unido
Jornada 29 25 Nov,Everton Vina,,,Palestino
Jornada 29 25 Nov,Huachipato,,,Colo Colo
Jornada 29 25 Nov,U. Catolica,,,O Higgins
Jornada 29 25 Nov,U. de Chile,,,D. Iquique
Jornada 29 25 Nov,U. de Conce,,,CD San Luis
Jornada 29 25 Nov,U. La Calera,,,Deportes Temuco
Jornada 30 02 Dic,Colo Colo,,,U. de Conce
Jornada 30 02 Dic,Curico Unido,,,U. de Chile
Jornada 30 02 Dic,D. Iquique,,,Antofagasta
Jornada 30 02 Dic,Deportes Temuco,,,U. Catolica
Jornada 30 02 Dic,O Higgins,,,A. Italiano
Jornada 30 02 Dic,Palestino,,,Huachipato
Jornada 30 02 Dic,CD San Luis,,,Everton Vina
Jornada 30 02 Dic,U. Espanola,,,U. La Calera
